#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.877	0.913
AKT1	IL10	9606.ENSP00000451828	9606.ENSP00000412237	0	0	0	0	0	0.052	0	0.728	0.731
AKT1	CDKN2A	9606.ENSP00000451828	9606.ENSP00000418915	0	0	0	0	0.042	0.229	0	0.834	0.866
AKT1	PIK3CG	9606.ENSP00000451828	9606.ENSP00000419260	0	0	0	0	0	0.098	0.900	0.947	0.994
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.229	0	0.916	0.932
APC	CASP3	9606.ENSP00000257430	9606.ENSP00000311032	0	0	0	0	0.042	0	0.750	0.321	0.823
APC	GSK3B	9606.ENSP00000257430	9606.ENSP00000324806	0	0	0	0	0.095	0.863	0.900	0.996	0.999
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0	0	0	0.072	0.738	0	0.831	0.955
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.920	0	0.979	0.998
AR	EP300	9606.ENSP00000363822	9606.ENSP00000263253	0	0	0	0	0.043	0.843	0	0.710	0.952
AR	RB1	9606.ENSP00000363822	9606.ENSP00000267163	0	0	0	0	0	0.629	0.500	0.397	0.878
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0.838	0.905
AR	GSK3B	9606.ENSP00000363822	9606.ENSP00000324806	0	0	0	0	0	0.314	0	0.778	0.841
AR	PTEN	9606.ENSP00000363822	9606.ENSP00000361021	0	0	0	0	0	0.295	0	0.853	0.892
AR	IGF1R	9606.ENSP00000363822	9606.ENSP00000497069	0	0	0	0	0.085	0.071	0	0.792	0.808
AR	HIF1A	9606.ENSP00000363822	9606.ENSP00000437955	0	0	0	0	0.067	0.525	0	0.733	0.871
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.651	0.172	0	0	0.978	0.981
BAX	HMOX1	9606.ENSP00000293288	9606.ENSP00000216117	0	0	0	0	0.074	0	0	0.719	0.729
BAX	TP53	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0.080	0.782	0.900	0.774	0.994
BAX	CASP8	9606.ENSP00000293288	9606.ENSP00000351273	0	0	0	0	0.049	0.349	0	0.782	0.853
BAX	CASP9	9606.ENSP00000293288	9606.ENSP00000330237	0	0	0	0	0.108	0.349	0	0.773	0.856
BAX	CASP3	9606.ENSP00000293288	9606.ENSP00000311032	0	0	0	0	0.049	0.349	0	0.828	0.884
BAX	BCL2	9606.ENSP00000293288	9606.ENSP00000381185	0	0	0	0.641	0	0.991	0.900	0.972	0.999
BCL2	HMOX1	9606.ENSP00000381185	9606.ENSP00000216117	0	0	0	0	0	0	0	0.856	0.856
BCL2	IL2	9606.ENSP00000381185	9606.ENSP00000226730	0	0	0	0	0.044	0	0	0.758	0.758
BCL2	CCND1	9606.ENSP00000381185	9606.ENSP00000227507	0	0	0	0	0.052	0	0	0.957	0.958
BCL2	IFNG	9606.ENSP00000381185	9606.ENSP00000229135	0	0	0	0	0.092	0	0	0.783	0.795
BCL2	MAPK14	9606.ENSP00000381185	9606.ENSP00000229795	0	0	0	0	0.062	0	0	0.694	0.701
BCL2	CTSD	9606.ENSP00000381185	9606.ENSP00000236671	0	0	0	0	0	0	0.900	0.514	0.949
BCL2	CDK4	9606.ENSP00000381185	9606.ENSP00000257904	0	0	0	0	0.047	0.209	0	0.775	0.815
BCL2	MDM2	9606.ENSP00000381185	9606.ENSP00000258149	0	0	0	0	0.056	0	0	0.953	0.953
BCL2	EP300	9606.ENSP00000381185	9606.ENSP00000263253	0	0	0	0	0.049	0	0.500	0.747	0.869
BCL2	IL1B	9606.ENSP00000381185	9606.ENSP00000263341	0	0	0	0	0.055	0	0	0.805	0.808
BCL2	CDK6	9606.ENSP00000381185	9606.ENSP00000265734	0	0	0	0	0.049	0.046	0	0.708	0.712
BCL2	CDK2	9606.ENSP00000381185	9606.ENSP00000266970	0	0	0	0	0.047	0.301	0	0.741	0.812
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0.103	0.869	0.900	0.999	0.999
BCL2	CASP3	9606.ENSP00000381185	9606.ENSP00000311032	0	0	0	0	0.098	0.354	0	0.980	0.987
BCL2	CFLAR	9606.ENSP00000381185	9606.ENSP00000312455	0	0	0	0	0	0.125	0	0.783	0.802
BCL2	GSK3B	9606.ENSP00000381185	9606.ENSP00000324806	0	0	0	0	0.049	0	0	0.729	0.731
BCL2	CASP9	9606.ENSP00000381185	9606.ENSP00000330237	0	0	0	0	0.091	0.125	0	0.938	0.946
BCL2	CASP8	9606.ENSP00000381185	9606.ENSP00000351273	0	0	0	0	0.086	0.648	0	0.954	0.984
BCL2	PTGS2	9606.ENSP00000381185	9606.ENSP00000356438	0	0	0	0	0	0	0	0.745	0.745
BCL2	FASLG	9606.ENSP00000381185	9606.ENSP00000356694	0	0	0	0	0.049	0	0	0.809	0.811
BCL2	PTEN	9606.ENSP00000381185	9606.ENSP00000361021	0	0	0	0	0.049	0.057	0	0.810	0.815
BCL2	MMP9	9606.ENSP00000381185	9606.ENSP00000361405	0	0	0	0	0.087	0	0	0.794	0.804
BCL2	CDKN2A	9606.ENSP00000381185	9606.ENSP00000418915	0	0	0	0	0	0.045	0	0.716	0.717
BCL2	IL10	9606.ENSP00000381185	9606.ENSP00000412237	0	0	0	0	0	0	0	0.718	0.718
BCL2	IGF1R	9606.ENSP00000381185	9606.ENSP00000497069	0	0	0	0	0.042	0	0	0.780	0.781
BCL2	CDKN1A	9606.ENSP00000381185	9606.ENSP00000384849	0	0	0	0	0.087	0	0	0.811	0.820
BCL2	IL6	9606.ENSP00000381185	9606.ENSP00000385675	0	0	0	0	0.057	0	0	0.866	0.868
BCL2	TNF	9606.ENSP00000381185	9606.ENSP00000398698	0	0	0	0	0.080	0.076	0	0.876	0.885
BCL2	ESR1	9606.ENSP00000381185	9606.ENSP00000405330	0	0	0	0	0.083	0.045	0.500	0.794	0.897
BCL2	HIF1A	9606.ENSP00000381185	9606.ENSP00000437955	0	0	0	0	0	0.510	0	0.895	0.946
CASP3	HMOX1	9606.ENSP00000311032	9606.ENSP00000216117	0	0	0	0	0.045	0	0	0.805	0.806
CASP3	TGFB1	9606.ENSP00000311032	9606.ENSP00000221930	0	0	0	0	0.042	0	0	0.706	0.706
CASP3	CCND1	9606.ENSP00000311032	9606.ENSP00000227507	0	0	0	0	0.055	0	0	0.845	0.847
CASP3	IFNG	9606.ENSP00000311032	9606.ENSP00000229135	0	0	0	0	0.088	0	0	0.816	0.825
CASP3	MAPK14	9606.ENSP00000311032	9606.ENSP00000229795	0	0	0	0	0.105	0.294	0	0.733	0.817
CASP3	CDK4	9606.ENSP00000311032	9606.ENSP00000257904	0	0	0	0	0.107	0	0	0.732	0.750
CASP3	MDM2	9606.ENSP00000311032	9606.ENSP00000258149	0	0	0	0	0.066	0.832	0	0.803	0.966
CASP3	IL1B	9606.ENSP00000311032	9606.ENSP00000263341	0	0	0	0	0.045	0	0	0.898	0.899
CASP3	CDK2	9606.ENSP00000311032	9606.ENSP00000266970	0	0	0	0	0.114	0.075	0	0.808	0.829
CASP3	RB1	9606.ENSP00000311032	9606.ENSP00000267163	0	0	0	0	0.049	0.510	0	0.510	0.751
CASP3	TP53	9606.ENSP00000311032	9606.ENSP00000269305	0	0	0	0	0.093	0.292	0	0.937	0.956
CASP3	CXCL8	9606.ENSP00000311032	9606.ENSP00000306512	0	0	0	0	0.045	0	0	0.751	0.752
CASP3	GSK3B	9606.ENSP00000311032	9606.ENSP00000324806	0	0	0	0	0.057	0.067	0	0.736	0.747
CASP3	PTEN	9606.ENSP00000311032	9606.ENSP00000361021	0	0	0	0	0.044	0	0	0.748	0.748
CASP3	HIF1A	9606.ENSP00000311032	9606.ENSP00000437955	0	0	0	0	0.094	0	0	0.752	0.766
CASP3	IL10	9606.ENSP00000311032	9606.ENSP00000412237	0	0	0	0	0	0	0	0.786	0.786
CASP3	MMP9	9606.ENSP00000311032	9606.ENSP00000361405	0	0	0	0	0.101	0	0	0.793	0.806
CASP3	CFLAR	9606.ENSP00000311032	9606.ENSP00000312455	0	0.018	0	0.622	0.104	0.510	0.360	0.571	0.863
CASP3	PTGS2	9606.ENSP00000311032	9606.ENSP00000356438	0	0	0	0	0.055	0	0	0.863	0.865
CASP3	IL6	9606.ENSP00000311032	9606.ENSP00000385675	0	0	0	0	0.103	0	0	0.873	0.881
CASP3	FASLG	9606.ENSP00000311032	9606.ENSP00000356694	0	0	0	0	0.074	0	0	0.888	0.892
CASP3	TNF	9606.ENSP00000311032	9606.ENSP00000398698	0	0	0	0	0.098	0.096	0	0.932	0.939
CASP3	CDKN1A	9606.ENSP00000311032	9606.ENSP00000384849	0	0	0	0	0.057	0.828	0.900	0.806	0.996
CASP3	CASP8	9606.ENSP00000311032	9606.ENSP00000351273	0	0	0.088	0.828	0.105	0.786	0.900	0.983	0.999
CASP3	CASP9	9606.ENSP00000311032	9606.ENSP00000330237	0	0	0	0.827	0.049	0.846	0.900	0.957	0.999
CASP8	MDM2	9606.ENSP00000351273	9606.ENSP00000258149	0	0	0	0	0.093	0.057	0	0.731	0.750
CASP8	IL1B	9606.ENSP00000351273	9606.ENSP00000263341	0	0	0	0	0.081	0.320	0.500	0.839	0.943
CASP8	CDK2	9606.ENSP00000351273	9606.ENSP00000266970	0	0	0	0	0.074	0	0	0.747	0.756
CASP8	TP53	9606.ENSP00000351273	9606.ENSP00000269305	0	0	0	0	0.086	0.292	0.900	0.879	0.991
CASP8	CFLAR	9606.ENSP00000351273	9606.ENSP00000312455	0	0	0	0.651	0.157	0.991	0.900	0.991	0.999
CASP8	CASP9	9606.ENSP00000351273	9606.ENSP00000330237	0	0	0	0.700	0.104	0.628	0.540	0.678	0.944
CASP8	PTGS2	9606.ENSP00000351273	9606.ENSP00000356438	0	0	0	0	0.098	0	0	0.681	0.700
CASP8	MMP9	9606.ENSP00000351273	9606.ENSP00000361405	0	0	0	0	0.103	0	0	0.692	0.712
CASP8	IL6	9606.ENSP00000351273	9606.ENSP00000385675	0	0	0	0	0.087	0	0	0.726	0.739
CASP8	PTEN	9606.ENSP00000351273	9606.ENSP00000361021	0	0	0	0	0.049	0.174	0	0.744	0.781
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0	0	0	0.101	0.994	0	0.928	0.999
CASP8	FASLG	9606.ENSP00000351273	9606.ENSP00000356694	0	0	0	0	0.097	0.836	0.500	0.992	0.999
CASP9	CCND1	9606.ENSP00000330237	9606.ENSP00000227507	0	0	0	0	0.055	0	0	0.841	0.844
CASP9	MDM2	9606.ENSP00000330237	9606.ENSP00000258149	0	0	0	0	0.059	0.067	0	0.863	0.869
CASP9	IL1B	9606.ENSP00000330237	9606.ENSP00000263341	0	0	0	0	0.045	0	0	0.825	0.826
CASP9	TP53	9606.ENSP00000330237	9606.ENSP00000269305	0	0	0	0	0.067	0	0	0.952	0.953
CASP9	CDKN1A	9606.ENSP00000330237	9606.ENSP00000384849	0	0	0	0	0.051	0	0	0.709	0.713
CASP9	PTGS2	9606.ENSP00000330237	9606.ENSP00000356438	0	0	0	0	0.055	0	0	0.722	0.726
CASP9	HIF1A	9606.ENSP00000330237	9606.ENSP00000437955	0	0	0	0	0.067	0	0	0.739	0.746
CASP9	IL6	9606.ENSP00000330237	9606.ENSP00000385675	0	0	0	0	0.087	0	0	0.774	0.785
CASP9	TNF	9606.ENSP00000330237	9606.ENSP00000398698	0	0	0	0	0.084	0.087	0	0.798	0.816
CASP9	FASLG	9606.ENSP00000330237	9606.ENSP00000356694	0	0	0	0	0	0	0	0.847	0.847
CCL2	TGFB1	9606.ENSP00000225831	9606.ENSP00000221930	0	0	0	0	0.086	0	0	0.843	0.851
CCL2	PPARG	9606.ENSP00000225831	9606.ENSP00000287820	0	0	0	0	0.088	0	0	0.717	0.731
CCL2	FASLG	9606.ENSP00000225831	9606.ENSP00000356694	0	0	0	0	0.054	0	0	0.734	0.737
CCL2	KDR	9606.ENSP00000225831	9606.ENSP00000263923	0	0	0	0	0.062	0	0	0.752	0.758
CCL2	MMP1	9606.ENSP00000225831	9606.ENSP00000322788	0	0	0	0	0.122	0	0	0.754	0.774
CCL2	MMP9	9606.ENSP00000225831	9606.ENSP00000361405	0	0	0	0	0.073	0	0	0.802	0.809
CCL2	IL2	9606.ENSP00000225831	9606.ENSP00000226730	0	0	0	0	0.049	0	0	0.852	0.853
CCL2	PTGS2	9606.ENSP00000225831	9606.ENSP00000356438	0	0	0	0	0.166	0	0	0.848	0.867
CCL2	IFNG	9606.ENSP00000225831	9606.ENSP00000229135	0	0	0	0	0.195	0	0	0.926	0.938
CCL2	IL10	9606.ENSP00000225831	9606.ENSP00000412237	0	0	0	0	0.214	0	0.400	0.929	0.963
CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0	0.239	0	0.400	0.940	0.970
CCL2	TNF	9606.ENSP00000225831	9606.ENSP00000398698	0	0	0	0	0.311	0	0.400	0.952	0.978
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.517	0	0.400	0.953	0.985
CCL2	CXCL8	9606.ENSP00000225831	9606.ENSP00000306512	0	0	0	0	0.487	0.994	0.400	0.948	0.999
CCND1	IL6	9606.ENSP00000227507	9606.ENSP00000385675	0	0	0	0	0.074	0	0	0.754	0.763
CCND1	MMP9	9606.ENSP00000227507	9606.ENSP00000361405	0	0	0	0	0.074	0	0	0.792	0.799
CCND1	PTEN	9606.ENSP00000227507	9606.ENSP00000361021	0	0	0	0	0.070	0	0	0.850	0.855
CCND1	HIF1A	9606.ENSP00000227507	9606.ENSP00000437955	0	0	0	0	0.042	0	0.400	0.802	0.876
CCND1	MDM2	9606.ENSP00000227507	9606.ENSP00000258149	0	0	0	0	0.055	0.292	0	0.898	0.926
CCND1	TP53	9606.ENSP00000227507	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.928	0.946
CCND1	EP300	9606.ENSP00000227507	9606.ENSP00000263253	0	0	0	0	0	0.735	0.500	0.822	0.974
CCND1	GSK3B	9606.ENSP00000227507	9606.ENSP00000324806	0	0	0	0	0	0.409	0.900	0.803	0.987
CCND1	ESR1	9606.ENSP00000227507	9606.ENSP00000405330	0	0	0	0	0.069	0.625	0.750	0.971	0.997
CCND1	RB1	9606.ENSP00000227507	9606.ENSP00000267163	0	0	0	0	0	0.932	0.900	0.831	0.998
CCND1	CDKN2A	9606.ENSP00000227507	9606.ENSP00000418915	0	0	0	0	0	0.726	0.900	0.946	0.998
CCND1	CDK2	9606.ENSP00000227507	9606.ENSP00000266970	0	0	0	0	0.135	0.901	0.800	0.998	0.999
CCND1	CDK4	9606.ENSP00000227507	9606.ENSP00000257904	0	0	0	0	0.131	0.999	0.900	0.999	0.999
CCND1	CDK6	9606.ENSP00000227507	9606.ENSP00000265734	0	0	0	0	0.112	0.995	0.900	0.998	0.999
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0	0	0	0.118	0.996	0.900	0.995	0.999
CDK2	CDK4	9606.ENSP00000266970	9606.ENSP00000257904	0	0	0.084	0.908	0.138	0	0.900	0.983	0.998
CDK2	MDM2	9606.ENSP00000266970	9606.ENSP00000258149	0	0	0	0	0	0	0.400	0.759	0.849
CDK2	EP300	9606.ENSP00000266970	9606.ENSP00000263253	0	0	0	0	0.069	0.795	0	0.640	0.925
CDK2	CDK6	9606.ENSP00000266970	9606.ENSP00000265734	0	0	0.075	0.925	0.085	0.676	0.900	0.963	0.998
CDK2	ESR1	9606.ENSP00000266970	9606.ENSP00000405330	0	0	0	0	0	0.294	0	0.612	0.714
CDK2	GSK3B	9606.ENSP00000266970	9606.ENSP00000324806	0	0	0	0.827	0.044	0.098	0	0.755	0.770
CDK2	HIF1A	9606.ENSP00000266970	9606.ENSP00000437955	0	0	0	0	0.070	0.292	0	0.684	0.773
CDK2	PTEN	9606.ENSP00000266970	9606.ENSP00000361021	0	0	0	0	0.078	0.126	0	0.754	0.784
CDK2	TOP2A	9606.ENSP00000266970	9606.ENSP00000411532	0	0	0	0	0.483	0.053	0	0.627	0.801
CDK2	TP53	9606.ENSP00000266970	9606.ENSP00000269305	0	0	0	0	0.093	0.778	0.500	0.891	0.987
CDK2	CDKN2A	9606.ENSP00000266970	9606.ENSP00000418915	0	0	0	0	0.072	0.094	0	0.993	0.993
CDK2	RB1	9606.ENSP00000266970	9606.ENSP00000267163	0	0	0	0	0.095	0.991	0.900	0.821	0.999
CDK2	CDKN1A	9606.ENSP00000266970	9606.ENSP00000384849	0	0	0	0	0.085	0.994	0.900	0.999	0.999
CDK4	ESR1	9606.ENSP00000257904	9606.ENSP00000405330	0	0	0	0	0	0.045	0	0.717	0.718
CDK4	TERT	9606.ENSP00000257904	9606.ENSP00000309572	0	0	0	0	0.067	0.177	0	0.708	0.756
CDK4	TOP2A	9606.ENSP00000257904	9606.ENSP00000411532	0	0	0	0	0.395	0.053	0	0.636	0.773
CDK4	GSK3B	9606.ENSP00000257904	9606.ENSP00000324806	0	0	0	0.727	0.044	0.098	0.750	0.202	0.805
CDK4	PTEN	9606.ENSP00000257904	9606.ENSP00000361021	0	0	0	0	0.078	0.236	0	0.824	0.865
CDK4	MDM2	9606.ENSP00000257904	9606.ENSP00000258149	0	0	0	0	0.042	0	0	0.884	0.884
CDK4	TP53	9606.ENSP00000257904	9606.ENSP00000269305	0	0	0	0	0.117	0.554	0	0.922	0.966
CDK4	RB1	9606.ENSP00000257904	9606.ENSP00000267163	0	0	0	0	0.077	0.994	0.900	0.984	0.999
CDK4	CDKN2A	9606.ENSP00000257904	9606.ENSP00000418915	0	0	0	0	0.058	0.994	0.900	0.999	0.999
CDK4	CDKN1A	9606.ENSP00000257904	9606.ENSP00000384849	0	0	0	0	0.103	0.999	0.900	0.998	0.999
CDK4	CDK6	9606.ENSP00000257904	9606.ENSP00000265734	0	0	0.055	0.970	0.072	0.720	0.900	0.983	0.999
CDK6	PTEN	9606.ENSP00000265734	9606.ENSP00000361021	0	0	0	0	0.078	0.126	0	0.773	0.801
CDK6	TP53	9606.ENSP00000265734	9606.ENSP00000269305	0	0	0	0	0.063	0.179	0	0.771	0.808
CDK6	RB1	9606.ENSP00000265734	9606.ENSP00000267163	0	0	0	0	0.095	0.871	0.900	0.840	0.997
CDK6	CDKN1A	9606.ENSP00000265734	9606.ENSP00000384849	0	0	0	0	0.087	0.994	0.900	0.994	0.999
CDK6	CDKN2A	9606.ENSP00000265734	9606.ENSP00000418915	0	0	0	0	0.044	0.999	0.900	0.998	0.999
CDKN1A	MDM2	9606.ENSP00000384849	9606.ENSP00000258149	0	0	0	0	0.072	0.848	0	0.873	0.980
CDKN1A	EP300	9606.ENSP00000384849	9606.ENSP00000263253	0	0	0	0	0	0.719	0	0.728	0.920
CDKN1A	RB1	9606.ENSP00000384849	9606.ENSP00000267163	0	0	0	0	0	0.332	0.500	0.658	0.876
CDKN1A	TP53	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.925	0.900	0.960	0.999
CDKN1A	PTEN	9606.ENSP00000384849	9606.ENSP00000361021	0	0	0	0	0	0	0	0.792	0.792
CDKN1A	ESR1	9606.ENSP00000384849	9606.ENSP00000405330	0	0	0	0	0	0.625	0	0.597	0.842
CDKN1A	CDKN2A	9606.ENSP00000384849	9606.ENSP00000418915	0	0	0	0	0.060	0.049	0.500	0.933	0.966
CDKN2A	MAPK14	9606.ENSP00000418915	9606.ENSP00000229795	0	0	0	0	0.047	0.216	0.900	0.340	0.944
CDKN2A	MDM2	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0.068	0.992	0.900	0.999	0.999
CDKN2A	EP300	9606.ENSP00000418915	9606.ENSP00000263253	0	0	0	0	0.042	0.133	0.500	0.702	0.859
CDKN2A	RB1	9606.ENSP00000418915	9606.ENSP00000267163	0	0	0	0	0	0.052	0	0.842	0.843
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.874	0.900	0.970	0.999
CDKN2A	TERT	9606.ENSP00000418915	9606.ENSP00000309572	0	0	0	0	0	0.175	0	0.787	0.817
CDKN2A	PTEN	9606.ENSP00000418915	9606.ENSP00000361021	0	0	0	0	0.053	0.188	0	0.908	0.923
CDKN2A	HIF1A	9606.ENSP00000418915	9606.ENSP00000437955	0	0	0	0	0	0.426	0	0.927	0.956
CFLAR	TP53	9606.ENSP00000312455	9606.ENSP00000269305	0	0	0	0	0.044	0.510	0	0.639	0.816
CFLAR	TNF	9606.ENSP00000312455	9606.ENSP00000398698	0	0	0	0	0.098	0.096	0	0.773	0.798
CFLAR	FASLG	9606.ENSP00000312455	9606.ENSP00000356694	0	0	0	0	0.062	0.301	0.500	0.903	0.963
COL18A1	KDR	9606.ENSP00000352798	9606.ENSP00000263923	0	0	0	0	0.080	0.292	0	0.944	0.960
COL18A1	MMP9	9606.ENSP00000352798	9606.ENSP00000361405	0	0	0	0	0.110	0.238	0.750	0.588	0.920
CTSD	PLAU	9606.ENSP00000236671	9606.ENSP00000361850	0	0	0	0	0.063	0.046	0	0.700	0.709
CTSD	ESR1	9606.ENSP00000236671	9606.ENSP00000405330	0	0	0	0	0.055	0	0.500	0.597	0.793
CXCL8	TGFB1	9606.ENSP00000306512	9606.ENSP00000221930	0	0	0	0	0.085	0	0	0.765	0.775
CXCL8	IL2	9606.ENSP00000306512	9606.ENSP00000226730	0	0	0	0	0.048	0	0	0.985	0.985
CXCL8	IFNG	9606.ENSP00000306512	9606.ENSP00000229135	0	0	0.281	0	0.152	0	0	0.942	0.961
CXCL8	IL1B	9606.ENSP00000306512	9606.ENSP00000263341	0	0	0	0	0.776	0	0.400	0.962	0.994
CXCL8	KDR	9606.ENSP00000306512	9606.ENSP00000263923	0	0	0	0	0	0	0	0.728	0.728
CXCL8	TP53	9606.ENSP00000306512	9606.ENSP00000269305	0	0	0	0	0	0.161	0	0.777	0.804
CXCL8	HIF1A	9606.ENSP00000306512	9606.ENSP00000437955	0	0	0	0	0.184	0	0	0.667	0.716
CXCL8	MMP1	9606.ENSP00000306512	9606.ENSP00000322788	0	0	0	0	0.186	0	0	0.720	0.762
CXCL8	PLAU	9606.ENSP00000306512	9606.ENSP00000361850	0	0	0	0	0.200	0	0	0.719	0.765
CXCL8	MMP9	9606.ENSP00000306512	9606.ENSP00000361405	0	0	0	0	0.140	0	0	0.867	0.880
CXCL8	IL10	9606.ENSP00000306512	9606.ENSP00000412237	0	0	0	0	0.147	0	0.400	0.946	0.970
CXCL8	PTGS2	9606.ENSP00000306512	9606.ENSP00000356438	0	0	0	0	0.767	0	0	0.901	0.975
CXCL8	TNF	9606.ENSP00000306512	9606.ENSP00000398698	0	0	0	0	0.294	0	0.400	0.965	0.983
CXCL8	IL6	9606.ENSP00000306512	9606.ENSP00000385675	0	0	0	0	0.445	0	0.400	0.976	0.991
CYP1A1	ESR1	9606.ENSP00000378488	9606.ENSP00000405330	0	0	0	0	0.062	0.056	0	0.776	0.785
CYP1A1	CYP1B1	9606.ENSP00000378488	9606.ENSP00000478561	0	0	0.095	0.889	0.135	0	0.913	0.177	0.937
EGLN1	HIF1A	9606.ENSP00000355601	9606.ENSP00000437955	0	0	0	0	0.050	0.968	0.900	0.981	0.999
EP300	TGFB1	9606.ENSP00000263253	9606.ENSP00000221930	0	0	0	0	0.042	0.091	0.400	0.652	0.793
EP300	MAPK14	9606.ENSP00000263253	9606.ENSP00000229795	0	0	0	0	0.049	0.510	0	0.489	0.741
EP300	MDM2	9606.ENSP00000263253	9606.ENSP00000258149	0	0	0	0	0.152	0.820	0	0.994	0.999
EP300	IL1B	9606.ENSP00000263253	9606.ENSP00000263341	0	0	0	0	0	0.292	0	0.608	0.710
EP300	RB1	9606.ENSP00000263253	9606.ENSP00000267163	0	0	0	0	0.049	0.681	0	0.418	0.808
EP300	ESR2	9606.ENSP00000263253	9606.ENSP00000343925	0	0	0	0	0	0.563	0	0.586	0.811
EP300	ESR1	9606.ENSP00000263253	9606.ENSP00000405330	0	0	0	0	0	0.926	0.500	0.943	0.997
